date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency,name
2019-07-29T00:00:00,30975,31100,31100,31150,30800,30950,-25,13701900,4.24673E+11,4855,17685.7,31000,11200,30950,1250400,24408459120,24408459120,24408459120,4199100,3782800,,6607083,2.05627E+11,39,BCA
2019-07-30T00:00:00,30950,31025,31025,31250,30950,31100,150,7645100,2.37524E+11,4765,17771.4,31100,1148200,31075,1900,24408459120,24408459120,24408459120,3859500,4278300,,8274494,2.57054E+11,44,BCA
2019-07-31T00:00:00,31100,30950,31100,31200,30900,30950,-150,12825800,3.9776E+11,5938,17685.7,31050,1000,30950,1223000,24408459120,24408459120,24408459120,7957300,8680200,,10022093,3.11342E+11,57,BCA
2019-08-01T00:00:00,30950,30950,30950,31350,30925,31050,100,15645600,4.86542E+11,6747,17742.9,31175,3200,31050,19500,24408459120,24408459120,24408459120,6683700,13290800,,7091288,2.21074E+11,35,BCA
2019-08-02T00:00:00,31050,30800,30825,31025,30800,30825,-225,12597900,3.8923E+11,5819,17614.3,30850,400,30825,1027000,24408459120,24408459120,24408459120,9195000,2639100,,2103060,65232551850,32,BCA
2019-08-05T00:00:00,30825,31075,31075,31075,30000,30000,-825,18184800,5.50757E+11,10609,17142.9,30225,3300,30000,1267600,24408459120,24408459120,24408459120,14047600,3717100,,3710723,1.15043E+11,35,BCA
2019-08-06T00:00:00,30000,29400,29400,29775,28825,29400,-600,36659200,1.0768E+12,21231,16800,29425,290400,29400,1227200,24408459120,24408459120,24408459120,31806700,9755600,,269,7857050,6,BCA
2019-08-07T00:00:00,29400,29875,29875,30250,29525,30050,650,18420400,5.52659E+11,11813,17171.4,30075,3400,30050,2465800,24408459120,24408459120,24408459120,11587400,10458200,,477829,14158419238,34,BCA
2019-08-08T00:00:00,30050,30050,30050,30400,29900,30025,-25,11659100,3.51453E+11,6419,17157.1,30050,6700,30025,3598700,24408459120,24408459120,24408459120,6717800,6910600,,512198,15387363500,64,BCA
2019-08-09T00:00:00,30025,30275,30275,30600,30275,30325,300,9623700,2.92216E+11,6182,17328.6,30350,40900,30325,1092400,24408459120,24408459120,24408459120,5402500,4252500,,1704527,51973662150,29,BCA
2019-08-12T00:00:00,30325,30350,30350,30400,30000,30200,-125,10541000,3.1826E+11,5436,17257.1,30200,779900,30175,2104700,24408459120,24408459120,24408459120,3229400,3375600,,3002104,91126934800,20,BCA
2019-08-13T00:00:00,30200,30000,30000,30200,30000,30075,-125,16881200,5.08427E+11,6034,17185.7,30075,527500,30050,31400,24408459120,24408459120,24408459120,13960200,6885300,,2893830,87822110630,19,BCA
2019-08-14T00:00:00,30075,30200,30225,30300,29900,30050,-25,16388400,4.93084E+11,8001,17171.4,30075,3100,30050,1082400,24408459120,24408459120,24408459120,11958700,4426100,,1049412,31636383550,24,BCA
2019-08-15T00:00:00,30050,29600,29600,30000,29300,30000,-50,10512300,3.12862E+11,9551,17142.9,30025,5000,30000,1459000,24408459120,24408459120,24408459120,7195200,3922300,,2662514,79834895600,13,BCA
2019-08-16T00:00:00,30000,30200,30200,30200,29800,29800,-200,9964300,2.9814E+11,5576,17028.6,29975,10000,29800,375100,24408459120,24408459120,24408459120,8430500,4331200,,4576646,1.37712E+11,23,BCA
2019-08-19T00:00:00,29800,30150,30150,30150,29825,30075,275,6123800,1.83845E+11,6494,17185.7,30075,9100,30000,11700,24408459120,24408459120,24408459120,5229100,4757600,,1977804,59358440375,30,BCA
2019-08-20T00:00:00,30075,30175,30175,30175,29925,29925,-150,11678700,3.49754E+11,4732,17100,29950,5900,29925,174500,24408459120,24408459120,24408459120,10717200,4650300,,4209110,1.25721E+11,22,BCA
2019-08-21T00:00:00,29925,30000,30000,30025,29875,29875,-50,11185500,3.344E+11,4669,17071.4,29875,550800,29850,132400,24408459120,24408459120,24408459120,10267300,4432700,,3800425,1.13637E+11,10,BCA
2019-08-22T00:00:00,29875,29625,29625,30000,29600,30000,125,13177600,3.93128E+11,5072,17142.9,30000,117800,29875,10300,24408459120,24408459120,24408459120,10988800,9065200,,1306026,39030423300,21,BCA
2019-08-23T00:00:00,30000,29600,29700,29975,29525,29975,-25,6616700,1.97089E+11,5732,17128.6,30000,652000,29975,48500,24408459120,24408459120,24408459120,5294000,3742100,,143047,4261732125,24,BCA
2019-08-26T00:00:00,29975,29700,29700,30000,29300,29950,-25,8277700,2.46294E+11,5714,17114.3,29950,8500,29900,80400,24408459120,24408459120,24408459120,5771300,4236700,,1057,31408025,22,BCA
2019-08-27T00:00:00,29950,30200,30200,30200,29750,30025,75,24756000,7.43176E+11,5387,17157.1,30025,1606800,30000,337700,24408459120,24408459120,24408459120,20516300,23218600,,1578382,47315479600,29,BCA
2019-08-28T00:00:00,30025,30000,29975,30100,29925,29975,-50,11137600,3.33841E+11,4409,17128.6,29975,461300,29950,6800,24408459120,24408459120,24408459120,9217300,5815100,,395506,11885348650,20,BCA
2019-08-29T00:00:00,29975,29950,29975,30125,29925,30025,50,10305100,3.09096E+11,5760,17157.1,30025,458100,30000,2100,24408459120,24408459120,24408459120,5620000,8106500,,3414506,1.02341E+11,33,BCA
2019-08-30T00:00:00,30025,30400,30300,30500,30025,30500,475,14730000,4.4595E+11,5429,17428.6,30500,2780800,30425,617500,24408459120,24408459120,24408459120,8721100,12310600,,3798880,1.14777E+11,26,BCA
2019-09-02T00:00:00,30500,30500,30475,30500,30000,30000,-500,8485800,2.55039E+11,4743,17142.9,30025,1300,30000,127900,24408459120,24408459120,24408459120,6741800,3391100,,331300,10016932165,28,BCA
2019-09-03T00:00:00,30000,30000,30100,30275,30000,30275,275,8548700,2.57225E+11,4447,17300,30275,2112500,30050,1700,24408459120,24408459120,24408459120,6348300,5552000,,2119323,63745088375,16,BCA
2019-09-04T00:00:00,30275,30300,30300,30300,30025,30100,-175,8395800,2.52851E+11,8421,17200,30125,3100,30100,221700,24408459120,24408459120,24408459120,5256900,6736200,,2286763,68867638300,11,BCA
2019-09-05T00:00:00,30100,30425,30375,30425,30075,30200,100,10730100,3.23919E+11,7278,17257.1,30200,2742400,30175,2522000,24408459120,24408459120,24408459120,6331700,7996500,,3772505,1.13864E+11,24,BCA
2019-09-06T00:00:00,30200,30300,30300,30300,30125,30125,-75,10869800,3.27717E+11,4199,17214.3,30150,29600,30125,2547300,24408459120,24408459120,24408459120,8263600,4589300,,16735,504394050,16,BCA
2019-09-09T00:00:00,30125,30250,30225,30275,29900,30175,50,5182400,1.56116E+11,4095,17242.9,30175,2042700,30150,200,24408459120,24408459120,24408459120,2715700,2851500,,719914,21715901175,32,BCA
2019-09-10T00:00:00,30175,30100,30100,30275,29925,30275,100,8058200,2.42565E+11,4691,17300,30275,3073500,30100,100,24408459120,24408459120,24408459120,5017400,4536300,,581900,17511444700,21,BCA
2019-09-11T00:00:00,30275,30250,30225,30500,30050,30500,225,9048700,2.74096E+11,5576,17428.6,30500,2783700,30225,600,24408459120,24408459120,24408459120,5130900,8415500,,190271,5741510025,17,BCA
2019-09-12T00:00:00,30500,30500,30475,30525,30050,30100,-400,8006800,2.42031E+11,5913,17200,30125,200,30100,1197700,24408459120,24408459120,24408459120,6364800,5882000,,653448,19720157075,17,BCA
2019-09-13T00:00:00,30100,30400,30400,30450,30050,30150,50,5683900,1.71724E+11,4469,17228.6,30175,3500,30150,5200,24408459120,24408459120,24408459120,3500000,4572200,,1889880,56911538325,29,BCA
2019-09-16T00:00:00,30150,30000,30025,30075,29925,30025,-125,15457800,4.63661E+11,5164,17157.1,30025,525400,30000,2600,24408459120,24408459120,24408459120,13442800,8069800,,2114495,63472775775,32,BCA
2019-09-17T00:00:00,30025,29950,29950,30175,29925,30150,125,18407500,5.53383E+11,3975,17228.6,30150,565400,30050,300000,24408459120,24408459120,24408459120,17105900,12251700,,4899240,1.47009E+11,73,BCA
2019-09-18T00:00:00,30150,29950,30000,30200,29950,30200,50,5733400,1.72956E+11,5527,17257.1,30200,377800,30150,157400,24408459900,24408459900,24408459900,3915500,4157400,,5099492,1.53983E+11,27,BCA
2019-09-19T00:00:00,30200,30075,30150,30225,30000,30150,-50,12397700,3.73701E+11,3238,17228.6,30150,57300,30125,400,24408459900,24408459900,24408459900,11304800,6026000,,7410921,2.23827E+11,13,BCA
2019-09-20T00:00:00,30150,30250,30225,30250,29950,29950,-200,26686600,8.00837E+11,3803,17114.3,30050,1800,29950,299800,24408459900,24408459900,24408459900,25474500,20569900,,4671408,1.4053E+11,21,BCA
2019-09-23T00:00:00,29950,30150,30125,30150,30000,30125,175,9446300,2.84245E+11,3516,17214.3,30125,2340600,30075,813200,24408459900,24408459900,24408459900,7025600,6427500,,3109837,93499032625,20,BCA
2019-09-24T00:00:00,30125,29900,29900,30000,29700,29725,-400,15943700,4.7579E+11,8519,16985.7,29750,3300,29725,488700,24408459900,24408459900,24408459900,13981100,6551700,,1505961,44996177225,13,BCA
2019-09-25T00:00:00,29725,29500,29550,29675,28900,29675,-50,17724000,5.20328E+11,10635,16957.1,29700,27000,29675,17400,24408459900,24408459900,24408459900,15459700,7504600,,12635509,3.7221E+11,18,BCA
2019-09-26T00:00:00,29675,30000,29950,30300,29850,30300,625,21971800,6.64298E+11,7827,17314.3,30300,181100,30250,200,24408459900,24408459900,24408459900,7680700,20593200,,8060889,2.42991E+11,43,BCA
